gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	significant	significant_up	significant_down
SMAD3	168.06128444183332	0.24159293198061235	0.049028212845379525	4.927630806012142	8.323270024237591e-7	4.801200874757668e-6	FALSE	FALSE	FALSE
SMAD4	184.88435573919477	-0.03141127257359415	0.03277973206488299	-0.9582528774615924	0.3379352593016023	0.4627388289958267	FALSE	FALSE	FALSE
SMAD5	177.85008373638883	0.13413594784302263	0.037387808802989794	3.587692141837854	3.336178697516447e-4	0.0011541868038860202	FALSE	FALSE	FALSE
SMAD6	27.127822697899585	0.09368764901034854	0.08108059759805085	1.1554878945860256	0.2478906870239233	0.36164713244382635	FALSE	FALSE	FALSE
SMAD7	24.429803892534153	0.31447764775087567	0.08264904778981025	3.804976054299411	1.4181790977456493e-4	5.326825080357394e-4	FALSE	FALSE	FALSE
SMAD9	120.29217513385541	0.07282232539391607	0.056348247934905754	1.2923618402126964	0.1962318652969426	0.2992296367628727	FALSE	FALSE	FALSE
SMAGP	6.688611974093559	0.35999115814913835	0.15316752320861948	2.3503099783027626	0.01875778256088845	0.04132824682517063	FALSE	FALSE	FALSE
SMAP1	75.81477676100266	-0.10187885240287492	0.048260104108023096	-2.111036730771119	0.034769154855856174	0.07049039628958514	FALSE	FALSE	FALSE
SMAP2	82.92885192343421	0.10628585297080137	0.052375483435126394	2.029305430706902	0.04242719051888703	0.0835017648423697	FALSE	FALSE	FALSE
SMARCA1	195.74003094204446	-0.1853549425866434	0.07066169781887123	-2.623131743335237	0.008712557545422992	0.021119717857351304	FALSE	FALSE	FALSE
SMARCA2	355.58494042995665	0.09102539835619217	0.0356116118711069	2.556059486598096	0.010586501906983932	0.024990268827212538	FALSE	FALSE	FALSE
SMARCA4	372.76304398811124	-0.49919668394711575	0.03364998143266897	-14.83497650499362	8.703439542968334e-50	6.048890482362992e-47	FALSE	FALSE	FALSE
SMARCA5	274.4005164912821	0.1281593331073571	0.02860570460982552	4.480201933684822	7.457245291092158e-6	3.6194266680914737e-5	FALSE	FALSE	FALSE
SMARCA5-AS1	0.12677386221656164	0.465476122115959	3.2001853386432133	0.14545286377485483	0.884353329144618	NA	FALSE	FALSE	FALSE
SMARCAD1	224.55025010631633	-0.024325089841090955	0.032829189595347676	-0.7409591933557245	0.4587181829586389	0.5891203655128682	FALSE	FALSE	FALSE
SMARCAL1	102.75878018955217	-0.08934370627799663	0.03777726559786144	-2.365012524438888	0.018029461199598217	0.03993718533470482	FALSE	FALSE	FALSE
SMARCB1	148.60694574710467	-0.1517666900144516	0.033203789540419804	-4.570764124067893	4.8594901422936916e-6	2.4422140218268624e-5	FALSE	FALSE	FALSE
SMARCC1	282.2287521933634	-0.24789949849057086	0.03323790968523368	-7.458336003623689	8.76219900758498e-14	1.5614687975055285e-12	FALSE	FALSE	FALSE
SMARCC2	338.6741976531407	-0.06312733881095955	0.023901182367643235	-2.641180584288567	0.008261766993218565	0.02015778971511588	FALSE	FALSE	FALSE
SMARCD1	70.79584754953946	-0.14350738017796658	0.04465455858617497	-3.213722959572517	0.0013102602755153533	0.003944879490773936	FALSE	FALSE	FALSE
SMARCD2	107.67184494715306	-0.33191481712820337	0.03868548301381386	-8.579828692062158	9.501453747775705e-18	2.953951240921033e-16	FALSE	FALSE	FALSE
SMARCD3	64.72162216304855	0.5082763327277798	0.07903722491590753	6.430847404733221	1.2689450271095653e-10	1.4063487967631474e-9	FALSE	FALSE	FALSE
SMARCE1	22.575426278160425	0.12610008700313569	0.07912473773227476	1.5936872666776603	0.11100609761642392	0.1878142275126318	FALSE	FALSE	FALSE
SMARCE1P1	8.82707806077076	0.22001541727473478	0.12821326233643546	1.7160113803001729	0.08615995953495341	0.15239441163948536	FALSE	FALSE	FALSE
SMARCE1P5	5.415870914985943	0.2984342479418996	0.17082695065766607	1.7469974544002493	0.08063777967613957	0.1441059193034528	FALSE	FALSE	FALSE
SMARCE1P6	1.6092169689261382	0.13174810831235778	0.327346391368747	0.4024730737414699	0.6873359008601027	0.7937316816224961	FALSE	FALSE	FALSE
SMC1A	184.5024533464277	-0.12092544795527531	0.030969970389692524	-3.9046032796828865	9.438008044094071e-5	3.689076257438439e-4	FALSE	FALSE	FALSE
SMC1B	3.0882391671138403	-0.13421251988051056	0.26362637802118954	-0.5091012549196535	0.6106812522397445	0.7295329958139891	FALSE	FALSE	FALSE
SMC2	60.217718593409664	-0.010986627868369282	0.053022994094962174	-0.20720496938917948	0.8358497865213346	0.908466710783181	FALSE	FALSE	FALSE
SMC3	223.80277786883465	0.19334782486838548	0.03005902736980218	6.432271493342664	1.2571093725124656e-10	1.394666397053608e-9	FALSE	FALSE	FALSE
SMC4	113.76792667155284	-0.039009261227887004	0.04765472037793964	-0.8185812636925093	0.41302536039838433	0.5429967897109587	FALSE	FALSE	FALSE
SMC5	203.61221078501447	0.06718165076099238	0.035040951185304176	1.9172325090640716	0.05520839976511347	0.1043390327139798	FALSE	FALSE	FALSE
SMC5-AS1	2.078548369683475	0.2864795950935193	0.27470881384824963	1.0428482110944277	0.2970185985442728	0.4170532915560713	FALSE	FALSE	FALSE
SMC6	116.49115214864344	-0.011100834955431144	0.040332742445911535	-0.27523134511167907	0.7831385066419683	0.870310988064229	FALSE	FALSE	FALSE
SMCHD1	351.28184315460976	0.03900247856147365	0.03360206928959793	1.1607165685342928	0.24575718164374508	0.359118182210695	FALSE	FALSE	FALSE
SMCO2	0.9882270925315546	0.7026723759678932	0.4448498507525632	1.5795720168932628	0.11420491185887889	0.19216694701518602	FALSE	FALSE	FALSE
SMCO3	4.311503212103747	-0.28510090359725393	0.2850254182800628	-1.000264837142058	0.31718235916414217	0.4405140158700086	FALSE	FALSE	FALSE
SMCO4	5.267095375730603	-0.566105665084563	0.16956175535472431	-3.338640036488571	8.418958329360854e-4	0.0026615767748507644	FALSE	FALSE	FALSE
SMCR8	106.29390110628283	-0.2648130057824172	0.0391168412653707	-6.769795239495743	1.2896478509636924e-11	1.66380017658759e-10	FALSE	FALSE	FALSE
SMDT1	33.263784034845166	5.806188602434049e-4	0.07547607335794117	0.007692753933950055	0.9938621309443817	0.9967304199225762	FALSE	FALSE	FALSE
SMG1	622.5844037322357	-0.14686222926678377	0.025556306760714936	-5.746613962724061	9.104827351518315e-9	7.371796515913645e-8	FALSE	FALSE	FALSE
SMG1P1	173.73045284804684	-0.08620483177721987	0.046292778833479396	-1.862165848529181	0.06257971663327609	0.11627112753224675	FALSE	FALSE	FALSE
SMG1P2	53.957543110746954	0.020098883870703098	0.05624631751375425	0.35733688460205765	0.7208396203580391	0.821422853172331	FALSE	FALSE	FALSE
SMG1P3	192.64393639432575	-0.14870471602012733	0.04632759922776578	-3.2098515463543227	0.00132803541241975	0.003993373755838593	FALSE	FALSE	FALSE
SMG1P4	10.435294591670187	-0.06462935008843253	0.1861781958186138	-0.34713705224320895	0.7284883585661595	0.8274832477373492	FALSE	FALSE	FALSE
SMG1P5	73.86609996253152	0.05397727023312871	0.058896245830748074	0.9164806597052862	0.35941484678600394	0.486376036304532	FALSE	FALSE	FALSE
SMG1P6	16.29247121860536	-0.17213675660492905	0.0962731220200003	-1.7880043047650251	0.07377531331491141	0.1336266603925823	FALSE	FALSE	FALSE
SMG1P7	38.958564807273035	0.20353513697751613	0.07013718093617377	2.9019577670613415	0.0037083853107568263	0.009934986510850015	FALSE	FALSE	FALSE
SMG5	220.7257494403798	-0.690487661930822	0.05835198864221638	-11.833147044302606	2.6308948584664273e-32	4.1374182281503046e-30	TRUE	FALSE	TRUE
SMG6	178.23584437658357	0.03578938794505031	0.037376304163032004	0.9575421847205728	0.3382936647888984	0.4630582597126312	FALSE	FALSE	FALSE
SMG7	226.64323927559442	-0.02688266941065838	0.029226794569719265	-0.9197953387098583	0.35767971968040635	0.48457583855337705	FALSE	FALSE	FALSE
SMG8	35.35539219700714	-0.21130793772148046	0.06335947492098662	-3.335064534309907	8.527960573049646e-4	0.002693270456557529	FALSE	FALSE	FALSE
SMG9	56.85815013883642	-0.10278115421800069	0.052041574154623245	-1.9749816543331802	0.048270229965102364	0.09302997625888992	FALSE	FALSE	FALSE
SMIM1	3.153418036478925	-0.3619766303833413	0.21879903230270842	-1.6543794850177707	0.09805043208315356	0.16935197685037223	FALSE	FALSE	FALSE
SMIM10	1.5306071064947813	0.8570124104647027	0.36266418481878804	2.363101862106745	0.018122687639417084	0.04009995945273093	TRUE	TRUE	FALSE
SMIM11A	0.5802447854320443	0.1411421100327929	3.1971212914175444	0.04414662353026122	0.9647875287855011	0.9864089609215073	FALSE	FALSE	FALSE
SMIM12	22.496133449888454	-0.2095635563381467	0.07965062684776014	-2.631034614940257	0.008512536526307225	0.020695803464713815	FALSE	FALSE	FALSE
SMIM13	11.803325114879055	0.019450854849684857	0.11091417162959846	0.17536852652735513	0.8607900695175132	0.9260176414828372	FALSE	FALSE	FALSE
SMIM14	50.288268073885106	-0.10903843538242244	0.06066572036836466	-1.797364882842184	0.07227771192956424	0.1313225926397758	FALSE	FALSE	FALSE
SMIM15	49.36683936935894	0.037535371692512205	0.05681054350333678	0.660711364085217	0.5087974345557986	0.6375820811825991	FALSE	FALSE	FALSE
SMIM17	3.7309126849606	-0.015372649979655402	0.19693777152948366	-0.07805841337731373	0.9377815875313963	0.9716945219316928	FALSE	FALSE	FALSE
SMIM18	0.29763801136861606	0.11307782823377246	3.199520126506898	0.035342121244046086	0.9718069363995026	0.988295443900592	FALSE	FALSE	FALSE
SMIM19	35.406051930464564	0.2601462391597192	0.06715997638893714	3.873530831118212	1.0726982899750731e-4	4.13884037562911e-4	FALSE	FALSE	FALSE
SMIM2	0.2337162274194445	0.06795113528003432	3.199094760753956	0.021240738509421254	0.9830536169732321	0.9935214456181765	FALSE	FALSE	FALSE
SMIM20	14.69880750682996	-0.01952356593901294	0.10049736913360151	-0.19426942324289356	0.845964926228634	0.9157111302047789	FALSE	FALSE	FALSE
SMIM22	9.853533270232179	-0.7144908567091514	0.1975877549641719	-3.6160684999873003	2.9911125580551123e-4	0.0010444654791458249	TRUE	FALSE	TRUE
SMIM24	0.8739022937032475	-1.5587748888881685	0.5812642005774982	-2.681697732871718	0.007324961132380988	0.0181571489009203	TRUE	FALSE	TRUE
SMIM3	28.844161835712043	0.14632921242745747	0.07820626586008578	1.8710676288936547	0.061335707765491326	0.11419614792667739	FALSE	FALSE	FALSE
SMIM4	25.998466140630473	0.0307184414402702	0.07551183684656824	0.40680299570366296	0.6841526863330778	0.7913706446390079	FALSE	FALSE	FALSE
SMIM5	1.5854787715136487	0.5436762066997278	0.32370862310744536	1.6795233981742612	0.09305008267215545	0.16250012411214956	FALSE	FALSE	FALSE
SMIM7	12.901095637735816	-0.14381324633049308	0.10492899741738841	-1.3705767697220075	0.17050692868306364	0.26753854624401763	FALSE	FALSE	FALSE
SMIM8	14.936586645595856	0.18913691727797124	0.09840956353666985	1.9219363492806685	0.05461376733293375	0.10335121802266646	FALSE	FALSE	FALSE
SMKR1	3.00798026087822	-0.002134019002168368	0.24935411103851152	-0.008558186561595446	0.993171638428578	0.9963161963935241	FALSE	FALSE	FALSE
SMN1	128.2480353251768	0.03583501940362559	0.06434045370244744	0.5569593831176615	0.5775551803952371	0.7004856091879861	FALSE	FALSE	FALSE
SMN2	28.749266116907084	0.024521510752196655	0.09449772222578409	0.25949314094161163	0.7952547735615049	0.8791956124991084	FALSE	FALSE	FALSE
SMNDC1	41.34244257278049	0.15559451388782827	0.059242966686314916	2.62637951120315	0.008629853922113045	0.020940444053601258	FALSE	FALSE	FALSE
SMO	65.513614276649065	-0.054901347765987506	0.05212787194570331	-1.0532052377502206	0.2922469384490024	0.41169480115625456	FALSE	FALSE	FALSE
SMOC1	103.54018751355039	0.7775199921754843	0.12781783488663576	6.083032096929842	1.1793072738187037e-9	1.1178255703662107e-8	TRUE	TRUE	FALSE
SMOC2	106.47960241005025	-0.17202729223973992	0.06914954633654387	-2.4877573513280975	0.012855140815919614	0.029628156705069332	FALSE	FALSE	FALSE
SMOX	22.876980321004975	-0.8304005820371813	0.09189841850947594	-9.036070429781727	1.6240506428073465e-19	6.443862080899499e-18	TRUE	FALSE	TRUE
SMPD1	64.1173355180027	-0.3531770653683945	0.0491691070199838	-7.182905827938928	6.824511069596568e-13	1.054763923920072e-11	FALSE	FALSE	FALSE
SMPD2	35.19777413340931	-0.3831041415957882	0.06810626307658649	-5.625094143911288	1.8540683004718614e-8	1.428169522118922e-7	FALSE	FALSE	FALSE
SMPD3	18.1181210231606	-0.8776639539662165	0.1282761947628255	-6.8419861969632105	7.810261589617425e-12	1.0419324207325538e-10	TRUE	FALSE	TRUE
SMPD4	75.91161337084964	-0.22372132669517658	0.0469638196500919	-4.763695294846802	1.9007946766760412e-6	1.0333742444861293e-5	FALSE	FALSE	FALSE
SMPDL3A	65.35514722573804	0.14988041370277075	0.07639608722945483	1.9618859962370394	0.04977575855480697	0.09550438312078689	FALSE	FALSE	FALSE
