gene	ESR1_mutant	First_line	Resistant	Second_line	WM-2d	Tam-2d	Fulv-2d	Lted	Lted_Tam-7d	Lted_Fulv-7d	Lted_Palbo-7d	Lted_CDK7i-7d	TamR	TamR_WM-7d	TamR_Fulv-7d	TamR_Palbo-7d	TamR_CDK7i-7d	FulvR	D538G_WM-2d	D538G_RM	neoadj_score	neoadj_pvalue	neoadj_pvalue_BH	neoadj_lasso_est	neoadj_rf_imp	neoadj_class
MSX2	-0.11388551188144258	-0.20171368871504283	-0.8981380126145502	-0.02478628630419907	-0.3314786307964624	-0.11298547452158159	-0.16067696082708455	-0.5915502468752982	-0.03479018574550702	-0.022715014829717495	0.3947980822082053	0.36903300765207653	-0.14195700223465127	-0.2249640735324685	-0.06680345662256415	-0.19424306930314253	-0.02197570147411912	-1.960906788733701	-0.11920597898284778	-0.11388551188144258	-2.3197728379643032	0.02036426308946615	0.0689103499804684	NA	NA	nc
MTA1	3.348828797835489	-1.991132452469423	-1.4537493431336075	-0.5409943898782035	-1.6120711298958046	-2.2639933033877426	-2.0973329241247214	-0.6380845988747108	-0.9757547875568813	-1.2456443840505944	-0.8736751226444734	-1.4205454369658213	-2.2030123922379303	0.00811707521694549	-0.12593785867898588	-0.033071261555231546	-1.0621795595805257	-1.5201510382881815	0.34335724260598255	3.348828797835489	0.41148253904564935	0.680723625819085	0.8073698817854265	NA	NA	nc
MTF1	-0.09991974916835367	-0.9161400368568671	-1.0066268063775878	-0.21773284831631667	-0.9117468988628731	-0.7743736190379127	-1.0622995926698156	-0.8564499658139069	-0.22953770317595754	-0.1296536364742304	-0.10539123535732794	-0.22199560639290916	-1.046621565426687	-0.18970903646309803	-0.3061277914223467	-0.34597768700493947	-0.14230883944577286	-1.1168088878921694	-0.3644589356507159	-0.09991974916835367	1.3533782876903713	0.17595175165995366	0.3323533086910236	NA	NA	nc
MXD1	-0.5388753766493124	-0.21557288012218398	-0.2670289891436933	0.005582170977480855	-0.2480185188950539	-0.1202996885801097	-0.2784004328913883	-0.3570203508044839	0.2502429954117454	0.07738863857232373	-0.07464328993978249	0.09211017848120712	-0.14301718008103848	-0.05408382593838966	-0.059702281902151794	-0.10570921033886004	-0.08827476174721749	-0.3010494365455574	-0.06028839946478309	-0.5388753766493124	1.0249905314393375	0.30538138613449006	0.48450348306003566	NA	NA	nc
MYB	0.04256183261142327	-0.44325533590751637	-0.1729502764743689	0.11139337402484879	-0.07813808785646154	-0.7469989119899227	-0.5046290078761648	-0.06926023579068574	-0.005998271899314178	0.2608224787469535	0.3706359430610875	-0.28881040351460546	-0.7003420150713136	0.04002664151397001	0.013760702293133475	-0.010887249566737589	-0.8368791449422823	0.2507514214388926	0.6929877506965281	0.04256183261142327	3.3796801865202615	7.27237827780935e-4	0.00505589113810558	0	0	up
MYBL2	-0.67182981569792255	-0.7542597478501146	-0.5330461918096947	0.03652796491251847	-0.9115640239421519	-0.7645478161975129	-0.5866674034106791	-0.7136608815473767	0.1395751387658248	0.0905338926943668	0.16330179209884063	-0.03161242913951612	-0.6366053558653757	-0.026136223077312733	-0.22396037304682867	0.07585356204021995	-0.24860780758583112	-0.24887233801633152	-0.3286564081282343	-0.67182981569792255	-0.7109658961286346	0.4771145526558752	0.6439693584050943	NA	NA	nc
MYC	-1.3903061942890735	-1.9367354792541431	-0.8458283858009982	-0.5448787313063121	-1.9788845683971572	-1.752370340926821	-2.078951528438451	-1.2160768715987513	0.25666741497300993	-1.1355770627312693	-1.0949583023049851	-1.046937650137736	-0.09420551051795845	-0.4151144838636601	-0.513484394721601	-0.3668055591893671	-1.4326397527069836	-1.2272027752862846	-0.978332377585556	-1.3903061942890735	-0.20327673532668464	0.8389210289313497	0.9130939247819873	0	0	nc
MYCN	-0.4037427400787771	-1.101617048299344	-1.0395356361770665	-0.5520404847727443	-0.9906609344547013	-0.8871512983881898	-1.4270389120551408	-1.1928429871577622	-0.10862085628170887	-0.9521246809663684	-0.8941432419223663	0.40530494452366633	-0.7944236050345971	-0.41258899107598423	-0.5064448630222305	-0.43832027536780704	0.6240848872042566	-1.1313403163388405	-0.3679721567550625	-0.4037427400787771	-1.7713417340457474	0.07652075534576198	0.18395898759890256	0	-0.00115151515151515	nc
MYOD1	-0.3910207657740562	0.20626229546609928	0.06753892143691746	0.2906654158516026	0.39355397583699986	-0.022646789631339558	0.24787970019263755	0.004886950793497838	-0.14273247357038457	0.6414124166179607	0.8561143955802766	0.2796758649334266	-0.34442888128149224	0.03429973640898404	-0.010110815391303318	0.36500923546408237	1.0191330588743293	0.5421586947987468	0.5936008022229462	-0.3910207657740562	2.7719728470061837	0.00557747420060996	0.02520453531161718	0	0.00272727272727272	up
MYOG	0.03719641203555153	-0.03808185496532258	0.15451524733259828	0.04153217259354294	0.17596283635047566	-0.15559606179202365	-0.13461233945441975	0.6264180392628814	-0.03102327148110262	0.19929596976433983	0.18345210171212367	0.159939700771206	-0.18005955818720196	0.16266724379361636	-0.2599133092181519	-0.005285699009567657	1.3754153595621936	0.017187260922115366	-0.053673991165345714	0.03719641203555153	0.5234720308754165	0.6006522335566276	0.7432681018361041	NA	NA	nc
NANOG	-0.5218721367180871	-0.36264788343708937	-0.31291444800638746	0.11207236651334276	-0.4042796172572143	-0.43507700008720196	-0.2485870329668518	-0.17057338713346626	0.1072057619751931	0.2101918160299805	0.08568573437680033	-0.4121373237279825	-0.5397398536607967	0.18044320228858943	-0.03306869756356387	0.1219763819730571	-0.017618739014376134	-0.22843010322489948	-0.11413644069800996	-0.5218721367180871	0.08371965281373031	0.9332802593614432	0.9544652853158389	NA	NA	nc
NCOA1	-0.24247159525862114	0.3298514703622246	0.16812843177081416	0.26522841217953413	0.38784562407037865	0.11065251180993557	0.49105627520635964	0.6778181844396252	0.10108701544727394	0.6255853549156066	0.7551725998304267	1.80245657571482	-0.15987409513795212	0.06993840556774888	0.06722208846311534	-0.027634991146966825	1.416276919699319	-0.0135587939892306	0.17788023038675824	-0.24247159525862114	1.686813766517969	0.09165644089549216	0.2084162382145905	NA	NA	nc
