gs_name	gene	species
moghal-2023_DTP-up_microarray	FLJ46309	human
moghal-2023_DTP-up_microarray	FOLR1	human
moghal-2023_DTP-up_microarray	FOXC1	human
moghal-2023_DTP-up_microarray	FOXO4	human
moghal-2023_DTP-up_microarray	FSTL3	human
moghal-2023_DTP-up_microarray	FTL	human
moghal-2023_DTP-up_microarray	FUCA1	human
moghal-2023_DTP-up_microarray	FXR2	human
moghal-2023_DTP-up_microarray	GABARAPL1	human
moghal-2023_DTP-up_microarray	GABBR2	human
moghal-2023_DTP-up_microarray	GAPDHL6	human
moghal-2023_DTP-up_microarray	GBA	human
moghal-2023_DTP-up_microarray	GCNT3	human
moghal-2023_DTP-up_microarray	GDF15	human
moghal-2023_DTP-up_microarray	GDPD5	human
moghal-2023_DTP-up_microarray	GJB3	human
moghal-2023_DTP-up_microarray	GLIPR2	human
moghal-2023_DTP-up_microarray	GLIS3	human
moghal-2023_DTP-up_microarray	GLS	human
moghal-2023_DTP-up_microarray	GNAI2	human
moghal-2023_DTP-up_microarray	GPR64	human
moghal-2023_DTP-up_microarray	GPRC5A	human
moghal-2023_DTP-up_microarray	GPRC5C	human
moghal-2023_DTP-up_microarray	GPSM1	human
moghal-2023_DTP-up_microarray	GRAMD3	human
moghal-2023_DTP-up_microarray	GRINA	human
moghal-2023_DTP-up_microarray	GRN	human
moghal-2023_DTP-up_microarray	GTF2H4	human
moghal-2023_DTP-up_microarray	H2AFJ	human
moghal-2023_DTP-up_microarray	HBA2	human
moghal-2023_DTP-up_microarray	HBEGF	human
moghal-2023_DTP-up_microarray	HCG2P7	human
moghal-2023_DTP-up_microarray	HCG4	human
moghal-2023_DTP-up_microarray	HEPACAM2	human
moghal-2023_DTP-up_microarray	HERC6	human
moghal-2023_DTP-up_microarray	HEXB	human
moghal-2023_DTP-up_microarray	HIST1H2AB	human
moghal-2023_DTP-up_microarray	HIST1H2BC	human
moghal-2023_DTP-up_microarray	HIST1H2BE	human
moghal-2023_DTP-up_microarray	HIST2H2AA3	human
moghal-2023_DTP-up_microarray	HIST2H2AA4	human
moghal-2023_DTP-up_microarray	HIST2H2AB	human
moghal-2023_DTP-up_microarray	HIST2H2AC	human
moghal-2023_DTP-up_microarray	HIST2H2BE	human
moghal-2023_DTP-up_microarray	HLA-A	human
moghal-2023_DTP-up_microarray	HLA-B	human
moghal-2023_DTP-up_microarray	HLA-DMA	human
moghal-2023_DTP-up_microarray	HLA-DMB	human
moghal-2023_DTP-up_microarray	HLA-DRA	human
moghal-2023_DTP-up_microarray	HLA-DRB4	human
moghal-2023_DTP-up_microarray	HLA-DRB6	human
moghal-2023_DTP-up_microarray	HLA-F	human
moghal-2023_DTP-up_microarray	HLA-H	human
moghal-2023_DTP-up_microarray	HOPX	human
moghal-2023_DTP-up_microarray	HOXC8	human
moghal-2023_DTP-up_microarray	HS.25318	human
moghal-2023_DTP-up_microarray	HS.294603	human
moghal-2023_DTP-up_microarray	HS.334831	human
moghal-2023_DTP-up_microarray	HS.348844	human
moghal-2023_DTP-up_microarray	HS.403972	human
moghal-2023_DTP-up_microarray	HS.413494	human
moghal-2023_DTP-up_microarray	HS.520349	human
moghal-2023_DTP-up_microarray	HS.534913	human
moghal-2023_DTP-up_microarray	HSD17B8	human
moghal-2023_DTP-up_microarray	HSPA8	human
moghal-2023_DTP-up_microarray	HSPB1	human
moghal-2023_DTP-up_microarray	ICAM1	human
moghal-2023_DTP-up_microarray	ID1	human
moghal-2023_DTP-up_microarray	ID4	human
moghal-2023_DTP-up_microarray	IDH3G	human
moghal-2023_DTP-up_microarray	IFI27	human
moghal-2023_DTP-up_microarray	IFI35	human
moghal-2023_DTP-up_microarray	IFI6	human
moghal-2023_DTP-up_microarray	IGFBP5	human
moghal-2023_DTP-up_microarray	IGSF1	human
moghal-2023_DTP-up_microarray	ILDR1	human
moghal-2023_DTP-up_microarray	ILK	human
moghal-2023_DTP-up_microarray	INHBB	human
moghal-2023_DTP-up_microarray	ITM2B	human
moghal-2023_DTP-up_microarray	JUN	human
moghal-2023_DTP-up_microarray	JUNB	human
moghal-2023_DTP-up_microarray	JUND	human
moghal-2023_DTP-up_microarray	JUP	human
moghal-2023_DTP-up_microarray	KIAA0247	human
moghal-2023_DTP-up_microarray	KIAA1199	human
moghal-2023_DTP-up_microarray	KL	human
moghal-2023_DTP-up_microarray	KLF2	human
moghal-2023_DTP-up_microarray	KLF6	human
moghal-2023_DTP-up_microarray	KLK11	human
moghal-2023_DTP-up_microarray	KPNA4	human
moghal-2023_DTP-up_microarray	KRT16	human
moghal-2023_DTP-up_microarray	KRT17	human
moghal-2023_DTP-up_microarray	KRT17P3	human
moghal-2023_DTP-up_microarray	KRT19	human
moghal-2023_DTP-up_microarray	KRT4	human
moghal-2023_DTP-up_microarray	KRT78	human
moghal-2023_DTP-up_microarray	LAMB2	human
moghal-2023_DTP-up_microarray	LAMP2	human
moghal-2023_DTP-up_microarray	LBH	human
moghal-2023_DTP-up_microarray	LCN2	human
moghal-2023_DTP-up_microarray	LEPREL1	human
moghal-2023_DTP-up_microarray	LGALS1	human
moghal-2023_DTP-up_microarray	LGALS3	human
moghal-2023_DTP-up_microarray	LITAF	human
moghal-2023_DTP-up_microarray	LMO7	human
moghal-2023_DTP-up_microarray	LOC100008589	human
moghal-2023_DTP-up_microarray	LOC100128505	human
moghal-2023_DTP-up_microarray	LOC100128918	human
moghal-2023_DTP-up_microarray	LOC100131336	human
moghal-2023_DTP-up_microarray	LOC100132394	human
moghal-2023_DTP-up_microarray	LOC100132585	human
moghal-2023_DTP-up_microarray	LOC100132804	human
moghal-2023_DTP-up_microarray	LOC100133171	human
moghal-2023_DTP-up_microarray	LOC100133565	human
moghal-2023_DTP-up_microarray	LOC100133607	human
moghal-2023_DTP-up_microarray	LOC100134364	human
moghal-2023_DTP-up_microarray	LOC286512	human
moghal-2023_DTP-up_microarray	LOC347376	human
moghal-2023_DTP-up_microarray	LOC391124	human
moghal-2023_DTP-up_microarray	LOC399988	human
moghal-2023_DTP-up_microarray	LOC401677	human
moghal-2023_DTP-up_microarray	LOC440927	human
moghal-2023_DTP-up_microarray	LOC441763	human
moghal-2023_DTP-up_microarray	LOC442270	human
moghal-2023_DTP-up_microarray	LOC643509	human
moghal-2023_DTP-up_microarray	LOC643752	human
moghal-2023_DTP-up_microarray	LOC643870	human
moghal-2023_DTP-up_microarray	LOC644436	human
moghal-2023_DTP-up_microarray	LOC644482	human
moghal-2023_DTP-up_microarray	LOC645895	human
moghal-2023_DTP-up_microarray	LOC646753	human
moghal-2023_DTP-up_microarray	LOC648343	human
moghal-2023_DTP-up_microarray	LOC648980	human
moghal-2023_DTP-up_microarray	LOC650517	human
moghal-2023_DTP-up_microarray	LOC652683	human
moghal-2023_DTP-up_microarray	LOC653506	human
moghal-2023_DTP-up_microarray	LOC654350	human
moghal-2023_DTP-up_microarray	LOC654780	human
moghal-2023_DTP-up_microarray	LOC727908	human
moghal-2023_DTP-up_microarray	LOC729090	human
moghal-2023_DTP-up_microarray	LOC729313	human
moghal-2023_DTP-up_microarray	LOC729760	human
moghal-2023_DTP-up_microarray	LOC730226	human
moghal-2023_DTP-up_microarray	LOC730313	human
moghal-2023_DTP-up_microarray	LOC730415	human
moghal-2023_DTP-up_microarray	LOXL4	human
moghal-2023_DTP-up_microarray	LPCAT3	human
moghal-2023_DTP-up_microarray	LRRC33	human
moghal-2023_DTP-up_microarray	LRRC37B2	human
moghal-2023_DTP-up_microarray	MAFF	human
moghal-2023_DTP-up_microarray	MALL	human
moghal-2023_DTP-up_microarray	MAP3K11	human
moghal-2023_DTP-up_microarray	MAP3K14	human
moghal-2023_DTP-up_microarray	MAT2A	human
moghal-2023_DTP-up_microarray	MATN2	human
moghal-2023_DTP-up_microarray	MB	human
moghal-2023_DTP-up_microarray	MCART6	human
moghal-2023_DTP-up_microarray	METRNL	human
moghal-2023_DTP-up_microarray	MIR574	human
moghal-2023_DTP-up_microarray	MMP10	human
moghal-2023_DTP-up_microarray	MMP7	human
moghal-2023_DTP-up_microarray	MNT	human
moghal-2023_DTP-up_microarray	MOBKL2C	human
moghal-2023_DTP-up_microarray	MPP1	human
moghal-2023_DTP-up_microarray	MSMB	human
moghal-2023_DTP-up_microarray	MTMR3	human
moghal-2023_DTP-up_microarray	MTPN	human
moghal-2023_DTP-up_microarray	MTSS1	human
moghal-2023_DTP-up_microarray	MUC20	human
moghal-2023_DTP-up_microarray	MUC4	human
moghal-2023_DTP-up_microarray	MUC5AC	human
moghal-2023_DTP-up_microarray	MX1	human
moghal-2023_DTP-up_microarray	MXD4	human
moghal-2023_DTP-up_microarray	MYL1	human
moghal-2023_DTP-up_microarray	MYO1B	human
moghal-2023_DTP-up_microarray	MYO5B	human
moghal-2023_DTP-up_microarray	NBL1	human
moghal-2023_DTP-up_microarray	NBPF10	human
moghal-2023_DTP-up_microarray	NBPF20	human
