gene	First_line	Resistant	Second_line	LNCaP_WM-7d	LNCaP95	LNCaP95_Enz-7d	LNCaP95_WM-7d
ASCL1	0.021955939475634567	-0.1445224614668027	0.07728255419781377	0.021955939475634567	-0.1445224614668027	0.10372868865940532	0.050836419736222216
ASCL2	0.20733397153066613	0.06180989265847758	-0.018327015797666768	0.20733397153066613	0.06180989265847758	-0.0713179688071105	0.03466393721177696
ATF1	0.2009195086645299	0.1280615855407765	0.19258378947010235	0.2009195086645299	0.1280615855407765	0.23180165967034316	0.15336591926986154
ATF2	0.1964066126367321	0.23187196841104307	-0.16810272383109764	0.1964066126367321	0.23187196841104307	-0.2410679819159302	-0.09513746574626511
ATF3	0.3402908314766815	0.09075696078280138	-0.3932731696114887	0.3402908314766815	0.09075696078280138	-0.37039394218950994	-0.4161523970334675
ATF4	0.2987680194754657	0.5670089544971035	-0.6142867518667625	0.2987680194754657	0.5670089544971035	-0.7009398491652532	-0.5276336545682719
ATF5	-0.47194024076453456	-0.9268327387748547	-0.4616499960123732	-0.47194024076453456	-0.9268327387748547	-0.4377938584451404	-0.48550613357960604
ATF6	-0.5041280627829912	0.2805056332952294	-0.30438618518146976	-0.5041280627829912	0.2805056332952294	-0.477477003797119	-0.13129536656582053
ATF7	0.09926538017419612	0.05430935522976105	-0.054686113798323444	0.09926538017419612	0.05430935522976105	-0.0941686069883581	-0.015203620608288781
ATOH1	-0.07718393504812948	-0.3175759226602175	-0.08182399745950308	-0.07718393504812948	-0.3175759226602175	-0.0782547334546726	-0.08539326146433357
BACH1	0.0782198410991023	-0.07511214150769155	-0.08062060837926123	0.0782198410991023	-0.07511214150769155	-0.13526137902619387	-0.025979837732328592
BACH2	-0.095059139057455	-0.11761108207465676	0.09585434977065703	-0.095059139057455	-0.11761108207465676	0.15011603700793333	0.04159266253338073
BARX2	-0.0233517802287323	0.11017889947658949	-0.1368695387096202	-0.0233517802287323	0.11017889947658949	-0.08151996729538508	-0.19221911012385534
BATF	0.1127689415310752	0.20664817824313686	-0.013431696700680548	0.1127689415310752	0.20664817824313686	-0.05868565627146041	0.031822262870099316
BCL11A	0.6847901891576731	1.3906392773003233	0.1435681144243267	0.6847901891576731	1.3906392773003233	0.13710773955621702	0.1500284892924364
BCL11B	-0.32594375980856183	-0.3698675932151759	-0.06757141411138168	-0.32594375980856183	-0.3698675932151759	-0.05031942444230697	-0.08482340378045639
BCL3	0.09185240129218242	0.05335513289946403	0.025481525061374216	0.09185240129218242	0.05335513289946403	0.1034056499969192	-0.05244259987417077
BCL6	0.2207038217086033	0.284381293648042	-0.06538577364462321	0.2207038217086033	0.284381293648042	-0.26434265169285326	0.13357110440360684
BCLAF1	0.028222573723835673	0.11144081971329711	0.016709632915011235	0.028222573723835673	0.11144081971329711	0.05885568575577563	-0.025436419925753156
BCOR	-0.022646264887725615	-0.008553980441506515	0.07042284130079846	-0.022646264887725615	-0.008553980441506515	0.07874371932145033	0.06210196328014658
BHLHA15	0.15895216749847213	0.10932368627027456	-0.01310267133138504	0.15895216749847213	0.10932368627027456	0.017385075629856583	-0.043590418292626665
BHLHE40	0.03252225291540628	-0.0945462502454103	-0.2363825103500009	0.03252225291540628	-0.0945462502454103	-0.3263028394307525	-0.14646218126924931
BHLHE41	-0.16326436821512924	0.2644802902138715	-0.12466843306228984	-0.16326436821512924	0.2644802902138715	-0.05902878129744604	-0.19030808482713363
