gs_name	gene	species
hangauer-2017_DTP-up	BTK	human
hangauer-2017_DTP-up	BTN2A2	human
hangauer-2017_DTP-up	BTN3A1	human
hangauer-2017_DTP-up	BTN3A3	human
hangauer-2017_DTP-up	C10orf10	human
hangauer-2017_DTP-up	C10orf142	human
hangauer-2017_DTP-up	C11orf42	human
hangauer-2017_DTP-up	C11orf54	human
hangauer-2017_DTP-up	C11orf86	human
hangauer-2017_DTP-up	C11orf91	human
hangauer-2017_DTP-up	C12orf54	human
hangauer-2017_DTP-up	C12orf76	human
hangauer-2017_DTP-up	C12orf80	human
hangauer-2017_DTP-up	C14orf132	human
hangauer-2017_DTP-up	C14orf39	human
hangauer-2017_DTP-up	C15orf59	human
hangauer-2017_DTP-up	C16orf45	human
hangauer-2017_DTP-up	C16orf96	human
hangauer-2017_DTP-up	C17orf102	human
hangauer-2017_DTP-up	C17orf78	human
hangauer-2017_DTP-up	C19orf45	human
hangauer-2017_DTP-up	C1QA	human
hangauer-2017_DTP-up	C1QTNF1	human
hangauer-2017_DTP-up	C1QTNF9B	human
hangauer-2017_DTP-up	C1R	human
hangauer-2017_DTP-up	C1S	human
hangauer-2017_DTP-up	C1orf101	human
hangauer-2017_DTP-up	C1orf105	human
hangauer-2017_DTP-up	C1orf111	human
hangauer-2017_DTP-up	C1orf146	human
hangauer-2017_DTP-up	C1orf162	human
hangauer-2017_DTP-up	C1orf168	human
hangauer-2017_DTP-up	C1orf228	human
hangauer-2017_DTP-up	C1orf54	human
hangauer-2017_DTP-up	C1orf95	human
hangauer-2017_DTP-up	C20orf141	human
hangauer-2017_DTP-up	C20orf194	human
hangauer-2017_DTP-up	C20orf197	human
hangauer-2017_DTP-up	C20orf203	human
hangauer-2017_DTP-up	C21orf62	human
hangauer-2017_DTP-up	C22orf24	human
hangauer-2017_DTP-up	C2CD4D	human
hangauer-2017_DTP-up	C2orf27A	human
hangauer-2017_DTP-up	C2orf27B	human
hangauer-2017_DTP-up	C2orf66	human
hangauer-2017_DTP-up	C2orf88	human
hangauer-2017_DTP-up	C3orf18	human
hangauer-2017_DTP-up	C3orf20	human
hangauer-2017_DTP-up	C3orf35	human
hangauer-2017_DTP-up	C3orf62	human
hangauer-2017_DTP-up	C4B	human
hangauer-2017_DTP-up	C4B	human
hangauer-2017_DTP-up	C4orf19	human
hangauer-2017_DTP-up	C4orf26	human
hangauer-2017_DTP-up	C4orf47	human
hangauer-2017_DTP-up	C5orf45	human
hangauer-2017_DTP-up	C6orf141	human
hangauer-2017_DTP-up	C6orf163	human
hangauer-2017_DTP-up	C6orf25	human
hangauer-2017_DTP-up	C7orf34	human
hangauer-2017_DTP-up	C7orf57	human
hangauer-2017_DTP-up	C7orf65	human
hangauer-2017_DTP-up	C8orf31	human
hangauer-2017_DTP-up	C8orf46	human
hangauer-2017_DTP-up	C8orf86	human
hangauer-2017_DTP-up	C8orf88	human
hangauer-2017_DTP-up	C9orf43	human
hangauer-2017_DTP-up	C9orf50	human
hangauer-2017_DTP-up	CA10	human
hangauer-2017_DTP-up	CA11	human
hangauer-2017_DTP-up	CA5B	human
hangauer-2017_DTP-up	CABP1	human
hangauer-2017_DTP-up	CABP4	human
hangauer-2017_DTP-up	CACNA1C	human
hangauer-2017_DTP-up	CACNA2D1	human
hangauer-2017_DTP-up	CACNA2D3	human
hangauer-2017_DTP-up	CACNB1	human
hangauer-2017_DTP-up	CACNG1	human
hangauer-2017_DTP-up	CACNG5	human
hangauer-2017_DTP-up	CACNG6	human
hangauer-2017_DTP-up	CACNG8	human
hangauer-2017_DTP-up	CADM2	human
hangauer-2017_DTP-up	CALB1	human
hangauer-2017_DTP-up	CALCB	human
hangauer-2017_DTP-up	CALCOCO1	human
hangauer-2017_DTP-up	CALCR	human
hangauer-2017_DTP-up	CALCRL	human
hangauer-2017_DTP-up	CALD1	human
hangauer-2017_DTP-up	CALHM2	human
hangauer-2017_DTP-up	CALHM3	human
hangauer-2017_DTP-up	CALML6	human
hangauer-2017_DTP-up	CALR3	human
hangauer-2017_DTP-up	CAMK1D	human
