gs_name	gene	species
zhao-2020_DTP-up_GSE153183	CSPG4	human
zhao-2020_DTP-up_GSE153183	CTF1	human
zhao-2020_DTP-up_GSE153183	CTGF	human
zhao-2020_DTP-up_GSE153183	CTIF	human
zhao-2020_DTP-up_GSE153183	CTSF	human
zhao-2020_DTP-up_GSE153183	CTSH	human
zhao-2020_DTP-up_GSE153183	CUL7	human
zhao-2020_DTP-up_GSE153183	CXCL17	human
zhao-2020_DTP-up_GSE153183	CYB5R1	human
zhao-2020_DTP-up_GSE153183	CYB5R2	human
zhao-2020_DTP-up_GSE153183	CYBRD1	human
zhao-2020_DTP-up_GSE153183	CYP1A1	human
zhao-2020_DTP-up_GSE153183	CYP26A1	human
zhao-2020_DTP-up_GSE153183	CYP2J2	human
zhao-2020_DTP-up_GSE153183	CYP4B1	human
zhao-2020_DTP-up_GSE153183	CYP4F3	human
zhao-2020_DTP-up_GSE153183	DAB2	human
zhao-2020_DTP-up_GSE153183	DAG1	human
zhao-2020_DTP-up_GSE153183	DAP	human
zhao-2020_DTP-up_GSE153183	DAPK1	human
zhao-2020_DTP-up_GSE153183	DAPP1	human
zhao-2020_DTP-up_GSE153183	DBP	human
zhao-2020_DTP-up_GSE153183	DCAF6	human
zhao-2020_DTP-up_GSE153183	DCLK2	human
zhao-2020_DTP-up_GSE153183	DEGS1	human
zhao-2020_DTP-up_GSE153183	DEGS2	human
zhao-2020_DTP-up_GSE153183	DGAT2	human
zhao-2020_DTP-up_GSE153183	DHRS12	human
zhao-2020_DTP-up_GSE153183	DHX58	human
zhao-2020_DTP-up_GSE153183	DIRAS2	human
zhao-2020_DTP-up_GSE153183	DKK3	human
zhao-2020_DTP-up_GSE153183	DLC1	human
zhao-2020_DTP-up_GSE153183	DNAJB2	human
zhao-2020_DTP-up_GSE153183	DNAJB9	human
zhao-2020_DTP-up_GSE153183	DNAJC4	human
zhao-2020_DTP-up_GSE153183	DOCK11	human
zhao-2020_DTP-up_GSE153183	DOK4	human
zhao-2020_DTP-up_GSE153183	DRAM1	human
zhao-2020_DTP-up_GSE153183	DTD2	human
zhao-2020_DTP-up_GSE153183	DTX4	human
zhao-2020_DTP-up_GSE153183	DUSP1	human
zhao-2020_DTP-up_GSE153183	DUSP16	human
zhao-2020_DTP-up_GSE153183	DUSP9	human
zhao-2020_DTP-up_GSE153183	ECEL1P2	human
zhao-2020_DTP-up_GSE153183	ECH1	human
zhao-2020_DTP-up_GSE153183	EDN1	human
zhao-2020_DTP-up_GSE153183	EDNRB	human
zhao-2020_DTP-up_GSE153183	EFHD1	human
zhao-2020_DTP-up_GSE153183	EFNA1	human
zhao-2020_DTP-up_GSE153183	EFS	human
zhao-2020_DTP-up_GSE153183	EID3	human
zhao-2020_DTP-up_GSE153183	EIF4A2	human
zhao-2020_DTP-up_GSE153183	ELF3	human
zhao-2020_DTP-up_GSE153183	ELOVL3	human
zhao-2020_DTP-up_GSE153183	EME2	human
zhao-2020_DTP-up_GSE153183	ENPP4	human
zhao-2020_DTP-up_GSE153183	ENPP5	human
zhao-2020_DTP-up_GSE153183	ENTPD8	human
zhao-2020_DTP-up_GSE153183	EPB41L4A-AS1	human
zhao-2020_DTP-up_GSE153183	EPB41L5	human
zhao-2020_DTP-up_GSE153183	EPOR	human
zhao-2020_DTP-up_GSE153183	EPS8L1	human
zhao-2020_DTP-up_GSE153183	ERBB3	human
zhao-2020_DTP-up_GSE153183	ESPN	human
zhao-2020_DTP-up_GSE153183	EVA1B	human
zhao-2020_DTP-up_GSE153183	EVPLL	human
zhao-2020_DTP-up_GSE153183	EXPH5	human
zhao-2020_DTP-up_GSE153183	F11R	human
zhao-2020_DTP-up_GSE153183	FADS2	human
zhao-2020_DTP-up_GSE153183	FADS3	human
zhao-2020_DTP-up_GSE153183	FAM102A	human
zhao-2020_DTP-up_GSE153183	FAM107B	human
zhao-2020_DTP-up_GSE153183	FAM127A	human
zhao-2020_DTP-up_GSE153183	FAM134B	human
zhao-2020_DTP-up_GSE153183	FAM198B	human
zhao-2020_DTP-up_GSE153183	FAM229A	human
zhao-2020_DTP-up_GSE153183	FAM25BP	human
zhao-2020_DTP-up_GSE153183	FAM46A	human
zhao-2020_DTP-up_GSE153183	FAM46B	human
zhao-2020_DTP-up_GSE153183	FAM49A	human
zhao-2020_DTP-up_GSE153183	FAM53B	human
zhao-2020_DTP-up_GSE153183	FAM63B	human
zhao-2020_DTP-up_GSE153183	FAM71E1	human
zhao-2020_DTP-up_GSE153183	FAM78A	human
zhao-2020_DTP-up_GSE153183	FAM83E	human
zhao-2020_DTP-up_GSE153183	FARP1	human
zhao-2020_DTP-up_GSE153183	FBLN1	human
zhao-2020_DTP-up_GSE153183	FBLN5	human
zhao-2020_DTP-up_GSE153183	FBXL8	human
zhao-2020_DTP-up_GSE153183	FBXO2	human
zhao-2020_DTP-up_GSE153183	FBXO32	human
zhao-2020_DTP-up_GSE153183	FBXO44	human
zhao-2020_DTP-up_GSE153183	FCHSD1	human
zhao-2020_DTP-up_GSE153183	FEZ2	human
zhao-2020_DTP-up_GSE153183	FGD3	human
zhao-2020_DTP-up_GSE153183	FGF18	human
zhao-2020_DTP-up_GSE153183	FGFBP1	human
zhao-2020_DTP-up_GSE153183	FHDC1	human
zhao-2020_DTP-up_GSE153183	FLVCR2	human
zhao-2020_DTP-up_GSE153183	FOLR1	human
zhao-2020_DTP-up_GSE153183	FOSL2	human
zhao-2020_DTP-up_GSE153183	FOXB1	human
zhao-2020_DTP-up_GSE153183	FOXN3	human
zhao-2020_DTP-up_GSE153183	FOXN4	human
zhao-2020_DTP-up_GSE153183	FOXO4	human
zhao-2020_DTP-up_GSE153183	FOXO6	human
zhao-2020_DTP-up_GSE153183	FRG1HP	human
zhao-2020_DTP-up_GSE153183	FSCN2	human
zhao-2020_DTP-up_GSE153183	FSTL1	human
zhao-2020_DTP-up_GSE153183	GAB1	human
zhao-2020_DTP-up_GSE153183	GAB2	human
zhao-2020_DTP-up_GSE153183	GABARAPL1	human
zhao-2020_DTP-up_GSE153183	GABRE	human
zhao-2020_DTP-up_GSE153183	GADD45B	human
zhao-2020_DTP-up_GSE153183	GALM	human
zhao-2020_DTP-up_GSE153183	GAS5	human
zhao-2020_DTP-up_GSE153183	GATA2	human
zhao-2020_DTP-up_GSE153183	GATA2-AS1	human
zhao-2020_DTP-up_GSE153183	GATA3	human
zhao-2020_DTP-up_GSE153183	GATA6	human
zhao-2020_DTP-up_GSE153183	GATS	human
zhao-2020_DTP-up_GSE153183	GBP2	human
zhao-2020_DTP-up_GSE153183	GCLC	human
zhao-2020_DTP-up_GSE153183	GDF15	human
zhao-2020_DTP-up_GSE153183	GDPD3	human
zhao-2020_DTP-up_GSE153183	GDPD5	human
zhao-2020_DTP-up_GSE153183	GGN	human
zhao-2020_DTP-up_GSE153183	GGT6	human
zhao-2020_DTP-up_GSE153183	GGTLC2	human
zhao-2020_DTP-up_GSE153183	GHDC	human
zhao-2020_DTP-up_GSE153183	GIPR	human
zhao-2020_DTP-up_GSE153183	GLB1	human
zhao-2020_DTP-up_GSE153183	GLCCI1	human
zhao-2020_DTP-up_GSE153183	GLI2	human
zhao-2020_DTP-up_GSE153183	GLI4	human
zhao-2020_DTP-up_GSE153183	GLRX	human
