Regulator	BCa_MCF7_first	BCa_MCF7_resistant	BCa_MCF7_second	BCa_MCF7_ERmutant	PCa_LNCaP_first	PCa_LNCaP_resistant	PCa_LNCaP_second	BCa_NEO_new	BCa_NEO_new_LASSO	BCa_NEO_new_RF	Perv_NEO	Perv_DTP	BCa_NEO_new_ML	Selection_1	Selection_2	Selection_3
DNMT1	-0.05286985656102725	-0.01829593517507931	0.09119230671771156	-0.05470802892702551	0.26370326835108615	0.15730361480922128	0.06915117358024778	11.025778495587256	0	0	2.7530092445059196	1.9548176225170377	FALSE	FALSE	FALSE	FALSE
DNMT3A	-0.23450972923237615	-0.2428746725756353	-0.13303482807699762	-0.19468690026748156	-0.2911341905647816	-0.6201285693518895	-0.10196324536728552	-0.4367615708854732	0	0	0	0	FALSE	FALSE	FALSE	FALSE
DNMT3B	-0.7607814657598713	-0.1888429479795694	-0.25526784264531355	-0.3148978311327169	-0.08589671294408918	-0.17452729378443466	0.19941733025108763	0.22541529641167465	0	0	0	0	FALSE	FALSE	FALSE	FALSE
E2F1	-2.446905117132468	-1.6090783582975696	-0.9189423675513334	-1.52659931759246	-0.8997418027490949	-0.4453682384301111	0.6022765517301985	-7.742761623667289	0	0	-3.1206795982306965	-13.607730556856513	FALSE	TRUE	FALSE	FALSE
E2F2	-1.6440812010846737	-1.2585200347135657	-0.5585629062173686	-1.1812390106863144	-0.4710851961830153	-0.2917410533455603	0.267705957454608	-1.72703137310566	0	0.00205128205128205	-0	-23.40220802986728	TRUE	FALSE	FALSE	TRUE
E2F3	-2.026182001372395	-1.504917489104335	-0.56604867794357006	-1.366982303408905	-0.6128304298043626	-0.29361086920553015	0.28941805584898306	-1.774082527364226	0	-0.00123076923076922	0	0	TRUE	TRUE	FALSE	TRUE
E2F4	-1.778787690945666	-0.9114723682005444	-0.8617949174060665	-1.1936286874460695	-0.6610301372424177	0.23290419000294005	0.38196692185449344	-9.455167439955716	0	0.00166666666666666	-47.425484355821915	-133.77051311782685	TRUE	TRUE	TRUE	TRUE
E2F5	-0.5982420440639873	-0.6460623745231261	-0.16253498037386468	-0.5048472052928543	-0.24877841058267047	-0.18959434439260725	0.14629225431260984	-0.4363047273664217	0	0	0	0	FALSE	FALSE	FALSE	FALSE
E2F6	-1.834067073828668	-1.4708837805567774	-0.3328127856877282	4.572149378729195	-0.1343750103086419	-0.2987517213455298	0.0722840370144997	-0.08847450031618752	0	0	0.11373797475857793	-0.3210485478260009	FALSE	FALSE	FALSE	FALSE
EBF1	0.11014102864774047	0.10664959907858965	-0.04364651314221948	0.39696450417832385	0.04543887585856843	-0.06108795703917247	-0.07601968965763972	25.278779914553496	0	0	4.829877554699984	8.18288990451691	FALSE	FALSE	FALSE	FALSE
EGR1	0.28293834236233295	-0.4015980446014916	0.5634864654952929	0.5609956970248859	0.1355824729806153	0.07414048823095248	0.09616329005820368	59.67486486196503	0	7.692307692307687e-4	2.426694405760296	4.050326870705429	TRUE	FALSE	TRUE	TRUE
EGR2	0.32763174576302306	0.42814455987821737	0.3062871934180163	0.2111261593947509	0.4362680085904518	0.4292459931138399	0.00943260409970914	8.206924226297675	0	0.0015553494124922601	2.1947357735227073	-0.6758094286546803	TRUE	FALSE	FALSE	TRUE
EGR3	0.3017154243221105	-0.01862954363038075	0.21268172136722696	-0.1956128218645144	0.18491740198881113	-0.12158141525146372	-0.01169583884139324	5.27786011051688	0	0	0	0	FALSE	FALSE	FALSE	FALSE
ELF1	0.07763890032021116	0.07618027153076565	0.07594014814706551	0.091466995046612	0.03205789078101406	0.0903760828901547	-0.05247532024970891	10.144524168390426	0	0	0.3589353969443332	0.48460138559026766	FALSE	FALSE	FALSE	FALSE
