target_id	num_aggregated_transcripts	sum_mean_obs_counts	pval	qval	b	pa_up	pa_down
BORCS5	6	21.42548974063081	4.99938651648828e-4	0.0015383186420388796	-0.14706928117783485	FALSE	FALSE
TM9SF2	2	6.482102569354485	5.001817357906152e-4	0.0015388021982779118	-0.186315450685443	FALSE	FALSE
CNOT6	2	4.801711266460645	5.002662221656581e-4	0.0015388021982779118	-0.6834653151923783	FALSE	FALSE
KCNAB2	2	7.93379374759093	5.009976831033818e-4	0.0015407897069420933	1.0059460816092296	FALSE	FALSE
TLN2	7	25.020519345459714	5.014761278533228e-4	0.0015419985344633333	0.35982543803772526	FALSE	FALSE
SMKR1	1	3.962536308134664	5.018071574698348e-4	0.0015427537379550129	-0.8260870633128701	FALSE	FALSE
EIF6	7	30.135461054698332	5.022921702248622e-4	0.0015439820088665168	-0.12295500211435678	FALSE	TRUE
TBC1D3B	6	19.966872080215897	5.024506446029701e-4	0.0015442062952493254	-0.3355069234506178	FALSE	FALSE
MRPS24	4	17.422690981740065	5.040982405051148e-4	0.0015490063170464298	0.07818349657162724	FALSE	FALSE
NPLOC4	9	29.603869284936223	5.042340732142117e-4	0.0015491601102714274	-0.1440309686484418	FALSE	FALSE
EEFSEC	5	14.848876667353991	5.045632717473956e-4	0.0015499078286249732	-0.27980738395169374	FALSE	FALSE
TNFRSF25	10	32.726874240692574	5.052061896921255e-4	0.0015516188060629413	0.2428060593167598	FALSE	FALSE
RHBDD2	6	25.417387047156566	5.057515251134302e-4	0.0015530295514408154	-0.1182657595549904	FALSE	FALSE
LRP12	3	11.092995238842954	5.064354756947616e-4	0.0015548653953709113	0.42626312420791085	FALSE	FALSE
KLHL6	4	18.752393402112	5.07097401258399e-4	0.0015566330051547557	0.44150418480092535	FALSE	FALSE
PPP3CC	4	15.497309989616447	5.075597470526873e-4	0.0015577874697526308	0.23592942964416264	FALSE	FALSE
ARGLU1	4	20.488679252828142	5.076748196328994e-4	0.0015578334339714738	0.23268946067074261	FALSE	FALSE
SRSF12	1	3.5593830091434295	5.077472502550581e-4	0.0015578334339714738	0.7236557875192051	FALSE	FALSE
VCAN	9	41.352447640850755	5.079244917512699e-4	0.0015581125185215193	0.44138718488189244	FALSE	FALSE
AC025165.6	1	2.69120618887638	5.080228488816396e-4	0.0015581495631714554	0.8669660665959293	FALSE	FALSE
UQCRC2	8	29.3217299791326	5.082275460887846e-4	0.00155851269397476	0.015368921148014431	FALSE	TRUE
TRIM59	2	10.016463859251127	5.094794082802011e-4	0.0015620863555402635	-0.34392941874491856	FALSE	FALSE
IGLV7-46	1	3.8216425277851385	5.096754615897666e-4	0.00156242219671526	1.41615554695007	FALSE	FALSE
CRB2	1	3.1660353495407434	5.105259315914539e-4	0.001564763713273942	1.0383925613008531	FALSE	FALSE
SLC36A1	3	10.10376157434971	5.108124662102356e-4	0.0015653762646004829	0.45649207576429807	FALSE	FALSE
NELFCD	11	39.68002893645937	5.111099939359467e-4	0.0015660222905478896	0.028489791764530772	FALSE	TRUE
FBXO42	4	18.51418914505464	5.112771142338936e-4	0.001566209784964631	0.14092365470749027	FALSE	FALSE
U2AF1L4	13	42.37440642181464	5.113490688033108e-4	0.001566209784964631	-0.05507770491406578	FALSE	FALSE
ZC3HC1	2	4.162991436649442	5.11431369507527e-4	0.001566209784964631	-0.5804600711630933	FALSE	FALSE
IP6K1	4	17.994425454242798	5.12785668259176e-4	0.0015700909432167618	-0.022150787410402783	FALSE	FALSE
CAMSAP1	4	17.399724972830096	5.130791938385095e-4	0.001570723370322028	-0.07117814119084694	FALSE	FALSE
AP2A1	5	21.876364465815538	5.133925511319055e-4	0.0015714162848967936	-0.0894925571409565	FALSE	FALSE
OSGIN2	4	18.857817838069916	5.152184414075677e-4	0.001576737812807874	-0.398370476145655	FALSE	FALSE
GIMAP6	3	16.153769023534238	5.154390751321677e-4	0.00157714575699963	0.3786916708117382	FALSE	FALSE
INTU	4	15.878792018330017	5.166534129022377e-4	0.0015805935936983758	0.22633893396480653	FALSE	FALSE
FAM104B	6	24.25673969167185	5.169433588220531e-4	0.0015812127569389323	-0.040059757173374066	FALSE	FALSE
VAV2	3	15.275069255668292	5.171282824835727e-4	0.0015815105255496764	-0.4774338425829358	FALSE	FALSE
CSNK2A2	2	10.13248118537842	5.173520300511105e-4	0.0015819269066530653	0.7056583869334638	FALSE	FALSE
AL096711.2	2	5.915182480324975	5.188146109010046e-4	0.001586094355155814	-0.25546904725320324	FALSE	FALSE
CA11	3	9.675215799051891	5.188906058065534e-4	0.001586094355155814	0.28753063792700045	FALSE	FALSE
GPC3	2	5.514952039378182	5.193805862585063e-4	0.001587323406201111	1.149509754174555	FALSE	FALSE
ENO1	8	36.061672895699445	5.209870841038393e-4	0.0015919637481947944	0.25500640753483456	FALSE	TRUE
CLDND2	2	4.057358216495015	5.211490565125677e-4	0.0015921892761902319	0.7343462260304308	FALSE	FALSE
HDAC8	22	59.40164985319609	5.214950498896578e-4	0.0015929768447153806	-0.10796754869018618	FALSE	FALSE
NUCB1	4	19.29169332790656	5.21920861927609e-4	0.0015940079224675615	0.1533406784100182	FALSE	FALSE
ATP1B3	6	28.621818707261404	5.226674815006326e-4	0.0015960182699391147	0.25069577274685645	FALSE	TRUE
MRPL4	6	24.874087082116233	5.229999334508728e-4	0.0015967634485527155	-0.2240093112795002	FALSE	TRUE
DACT1	3	7.824343360701917	5.233621297945234e-4	0.001597599172068847	0.6896079525807195	FALSE	FALSE
RAPGEF2	6	27.220449203426384	5.237295510401724e-4	0.00159845055978274	0.2901949117766856	FALSE	FALSE
MESD	4	20.49697124704856	5.243463461997229e-4	0.0016000626336635344	0.10382158285586943	FALSE	FALSE
PWWP2A	6	22.555800711086647	5.244577557994418e-4	0.0016001322203044635	-0.0053164010224393005	FALSE	FALSE
TSEN54	2	8.881115348190205	5.255894057062501e-4	0.0016033140333866843	0.08622682289269071	FALSE	TRUE
MRPL33	6	21.488882950584504	5.259635602538254e-4	0.0016041844172646228	0.002850707326724046	FALSE	FALSE
HKDC1	1	2.234884442016922	5.267773410334156e-4	0.0016063951370689719	0.8245624650847833	FALSE	FALSE
TMEM126A	5	16.659763045544256	5.292055906132631e-4	0.0016135275638839977	0.233558237959585	FALSE	FALSE
ZNF688	3	10.896285885308	5.296905154698041e-4	0.0016147334603087765	-0.48789658551962595	FALSE	FALSE
HDAC6	20	64.75020948836867	5.299442651684305e-4	0.001615234343405348	0.10781008568436315	FALSE	FALSE
CTTN	13	63.557187647201346	5.305805684426627e-4	0.001616628055594069	0.036406031572931735	FALSE	FALSE
TBCCD1	3	10.437478620030944	5.30547350980873e-4	0.001616628055594069	-0.3393612903196583	FALSE	FALSE
MDH2	7	27.610295744376113	5.306994267861936e-4	0.0016167174339291278	-0.16605705347396352	FALSE	TRUE
PSMF1	9	44.45185820783607	5.318014565052398e-4	0.0016192551851337254	0.021965407639087033	FALSE	FALSE
PDAP1	4	21.096489906183162	5.317710477946015e-4	0.0016192551851337254	0.053537999747063164	FALSE	FALSE
EDC3	5	17.619508867747545	5.317893986422277e-4	0.0016192551851337254	0.04866741818358647	FALSE	FALSE
SIT1	3	7.852054896659234	5.321758295554033e-4	0.0016201219328963298	0.6994179242199872	FALSE	FALSE
POMT2	8	22.99419979180507	5.332191225492829e-4	0.0016230244621806	-0.43941497397174706	FALSE	FALSE
ZNF76	9	41.32451356848412	5.337810722054854e-4	0.0016244611363260635	-0.04126870394268587	FALSE	FALSE
SBNO2	15	63.51966296519742	5.342370777831444e-4	0.0016251405932664197	-0.2851246499977035	FALSE	FALSE
RHOBTB2	5	15.557448576571216	5.34274306563084e-4	0.0016251405932664197	0.4028916209046509	FALSE	FALSE
TTL	4	19.766895945968482	5.342033089486692e-4	0.0016251405932664197	0.04707204581508441	FALSE	FALSE
CNTROB	11	37.261020327418386	5.351806206500832e-4	0.0016273491881326574	-0.11579296060752652	FALSE	FALSE
LNPEP	2	12.683593917556678	5.351230494779485e-4	0.0016273491881326574	-0.20390009765506592	FALSE	FALSE
TUBGCP2	6	25.32880226698679	5.353210630071439e-4	0.0016275022014892277	0.13360377739481644	FALSE	FALSE
USP9Y	4	10.334136173071824	5.356401143796192e-4	0.0016281980854370548	-0.3399897860008077	FALSE	FALSE
ALG9	11	38.27415357037481	5.366682927751649e-4	0.0016310489227914344	0.1429604483494985	FALSE	FALSE
HLA-DMB	11	32.873643245417156	5.370954906475148e-4	0.0016320726006399918	0.3323028361096548	FALSE	FALSE
RAB10	3	17.1361752393084	5.381209442266732e-4	0.0016349135484168054	-0.5372647796703389	FALSE	FALSE
PLAC9P1	1	1.83569177492734	5.384237783820494e-4	0.0016355584548025954	-0.9153961591768731	FALSE	FALSE
TRAV14DV4	1	1.2630516775664136	5.386628764631254e-4	0.0016360095671119376	0.9800161458909379	FALSE	FALSE
DPH7	11	44.576515594578545	5.395472835926577e-4	0.0016384201100386425	-0.15691642393336952	FALSE	FALSE
ATP5PO	6	20.115203890151957	5.398986017067017e-4	0.0016392113060224153	0.14587126714513016	FALSE	FALSE
IMP3	3	14.594521947074181	5.402687315046332e-4	0.0016400593414426243	0.17696682387351184	FALSE	TRUE
ATP5ME	4	13.669876548427702	5.416912263882596e-4	0.0016441011524950552	0.006707971491949606	FALSE	FALSE
RAB8B	3	12.162156466993299	5.431368273434374e-4	0.0016482117232389743	0.12388916407999027	FALSE	FALSE
SPRTN	4	15.009193157976467	5.453108337050423e-4	0.001654530972089946	-0.2815624001758904	FALSE	FALSE
GMPPB	2	12.945457392159405	5.457464952692442e-4	0.0016555746611905393	-0.3691841726426159	FALSE	FALSE
SPI1	2	11.40909895993817	5.461157113121918e-4	0.0016564164646602068	0.41599447391731115	FALSE	FALSE
TMEM129	4	22.00269365525087	5.465071733957915e-4	0.0016571687497993794	-0.0897776775075397	FALSE	FALSE
FMR1	11	43.651703635531405	5.466390299880892e-4	0.0016571687497993794	-0.02698387177584126	FALSE	FALSE
COBLL1	8	24.937568940223343	5.465867987328209e-4	0.0016571687497993794	0.12577529096427698	FALSE	FALSE
IDH3G	10	38.81826130571592	5.474207199495958e-4	0.001659259949911002	0.024555951338860117	FALSE	FALSE
